,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name
BBY,465,305,229,BBB,B,BB,Best Buy Co.
URI,497,300,309,BBB,BB,BB,United Rentals
DTE,557,210,310,A,BB,B,DTE Energy Company
KEY,515,300,308,A,BB,BB,KeyCorp
MLM,573,300,273,A,B,BB,Martin Marietta Materials
FANG,393,320,263,BB,B,BB,Diamondback Energy
EIX,700,315,573,AA,A,BB,Edison International
HIG,500,305,305,A,BB,BB,The Hartford Financial Services Group
NTRS,265,225,224,B,B,B,Northern Trust Corporation
ALB,545,305,345,A,BB,BB,Albemarle Corporation
CHD,568,348,341,A,BB,BB,Church & Dwight Co.
DOV,515,300,302,A,BB,BB,Dover Corporation
SYF,330,300,322,BB,BB,BB,Synchrony Financial
VMC,565,300,319,A,BB,BB,Vulcan Materials Company
DAL,505,270,306,A,BB,B,Delta Air Lines
EPAM,540,330,338,A,BB,BB,EPAM Systems
FTV,540,305,326,A,BB,BB,Fortive Corporation
CDW,265,200,213,B,B,B,CDW Corporation
GWW,255,240,385,B,BB,B,W.W. Grainger
ZBRA,295,300,301,B,BB,BB,Zebra Technologies Corporation
ZBH,510,300,331,A,BB,BB,Zimmer Biomet Holdings
LUV,270,205,332,B,BB,B,Southwest Airlines Co.
HRL,540,300,320,A,BB,BB,Hormel Foods Corporation
LH,500,300,300,A,BB,BB,Laboratory Corporation of America Holdings
EXR,587,220,262,A,B,B,Extra Space Storage Inc.
MKC,500,300,300,A,BB,BB,McCormick & Company
OKE,381,365,324,BB,BB,BB,ONEOK
VFC,500,300,300,A,BB,BB,V.F. Corporation
ANSS,585,275,333,A,BB,B,ANSYS
TWTR,215,200,215,B,B,B,Twitter
O,500,300,300,A,BB,BB,Realty Income Corporation
EFX,390,300,324,BB,BB,BB,Equifax Inc.
HAL,257,210,233,B,B,B,HAL Trust
NUE,263,215,323,B,BB,B,Nucor Corporation
HES,380,300,321,BB,BB,BB,Hess Corporation
LEN,278,210,303,B,BB,B,Lennar Corporation
SWK,525,305,321,A,BB,BB,Stanley Black & Decker
ABC,523,329,310,A,BB,BB,AmerisourceBergen Corporation
FRC,290,283,319,B,BB,B,First Republic Bank
BKR,500,300,302,A,BB,BB,Baker Hughes Company
AWK,598,300,399,A,BB,BB,American Water Works Company
WY,643,300,325,AA,BB,BB,Weyerhaeuser Company
WST,535,305,330,A,BB,BB,West Pharmaceutical Services
ARE,600,360,362,AA,BB,BB,Alexandria Real Estate Equities
NDAQ,510,305,314,A,BB,BB,Nasdaq
CPRT,265,200,203,B,B,B,Copart
ED,571,315,362,A,BB,BB,Consolidated Edison
ES,559,305,427,A,BBB,BB,Eversource Energy
KEYS,515,305,321,A,BB,BB,Keysight Technologies
DHI,240,200,203,B,B,B,D.R. Horton
WEC,635,300,431,AA,BBB,BB,WEC Energy Group
MTCH,240,316,374,B,BB,BB,Match Group
FITB,445,255,322,BBB,BB,B,Fifth Third Bancorp
BLL,500,300,300,A,BB,BB,Ball Corporation
AME,525,245,305,A,BB,B,AMETEK
AJG,530,310,344,A,BB,BB,Arthur J. Gallagher & Co.
SIVB,510,300,323,A,BB,BB,SVB Financial Group
LYB,592,320,354,A,BB,BB,LyondellBasell Industries N.V.
CBRE,210,210,215,B,B,B,CBRE Group
CMI,530,305,348,A,BB,BB,Cummins Inc.
MTD,505,240,300,A,BB,B,Mettler-Toledo International Inc.
LVS,505,305,302,A,BB,BB,Las Vegas Sands Corp.
EQR,240,200,206,B,B,B,Equity Residential
RMD,335,300,351,BB,BB,BB,ResMed Inc.
TSN,563,315,384,A,BB,BB,Tyson Foods
TDG,500,300,300,A,BB,BB,TransDigm Group Incorporated
ODFL,387,280,378,BB,BB,B,Old Dominion Freight Line
