timestamp,shallow_preds,svm_preds,gbc_preds,lr_preds,deep_preds,sgdc_preds,mean,signal,entry/exit,close,position,entry/exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
2021-11-05 00:00:00+00:00,0.86941105,-1,-1,-1,-0.9349815,-1,-0.6775950789451599,-1.0,-1.0,64.72,-274.82,-274.82,-17786.35,30571.99,12785.64,0.0,0.9835
2021-11-08 00:00:00+00:00,0.30429438,-1,-1,-1,-0.812258,-1,-0.7513272712628046,-1.0,0.0,64.88,-274.82,0.0,-17830.32,30571.99,12741.67,-0.0034,0.9802
2021-11-09 00:00:00+00:00,-0.86447185,-1,-1,-1,-0.9258443,-1,-0.9650526940822601,-1.0,0.0,64.67,-274.82,0.0,-17772.61,30571.99,12799.38,0.0045,0.9846
2021-11-10 00:00:00+00:00,0.63678735,1,-1,-1,-0.92164505,-1,-0.38080961505572003,0.0,1.0,62.86,0.0,274.82,0.0,13296.81,13296.81,0.0389,1.0229
2021-11-11 00:00:00+00:00,-0.20713875,1,-1,-1,-0.96900207,-1,-0.5293568025032679,-1.0,-1.0,63.35,-274.82,-274.82,-17409.85,30706.65,13296.8,-0.0,1.0229
2021-11-12 00:00:00+00:00,0.75910926,1,-1,-1,-0.93411016,-1,-0.3625001509984334,0.0,1.0,63.09,0.0,274.82,0.0,13368.26,13368.26,0.0054,1.0284
2021-11-15 00:00:00+00:00,0.5280364,1,-1,-1,-0.98998517,-1,-0.4103247920672099,0.0,0.0,63.36,0.0,0.0,0.0,13368.26,13368.26,0.0,1.0284
2021-11-16 00:00:00+00:00,0.9171712,1,-1,-1,-0.9052155,-1,-0.3313407202561696,0.0,0.0,63.16,0.0,0.0,0.0,13368.26,13368.26,0.0,1.0284
2021-11-17 00:00:00+00:00,0.7372544,1,-1,-1,-0.9888063,-1,-0.3752586543560028,0.0,0.0,63.5,0.0,0.0,0.0,13368.26,13368.26,0.0,1.0284
2021-11-18 00:00:00+00:00,0.55833924,-1,-1,-1,-0.9547473,-1,-0.7327346801757812,-1.0,-1.0,63.55,-274.82,-274.82,-17464.81,30833.07,13368.26,0.0,1.0284
2021-11-19 00:00:00+00:00,0.6521904,1,-1,-1,-0.9961597,-1,-0.3906615475813548,0.0,1.0,61.38,0.0,274.82,0.0,13964.62,13964.62,0.0446,1.0743
2021-11-22 00:00:00+00:00,0.66663224,1,-1,-1,-0.9877533,-1,-0.3868535061677297,0.0,0.0,61.94,0.0,0.0,0.0,13964.62,13964.62,0.0,1.0743
2021-11-23 00:00:00+00:00,0.7171794,-1,-1,-1,-0.6263887,-1,-0.6515348851680756,-1.0,-1.0,64.01,-274.82,-274.82,-17591.23,31555.85,13964.62,0.0,1.0743
2021-11-24 00:00:00+00:00,0.9363802,-1,-1,-1,-0.8871093,-1,-0.6584548453489939,-1.0,0.0,64.81,-274.82,0.0,-17811.08,31555.85,13744.77,-0.0157,1.0574
2021-11-26 00:00:00+00:00,0.6150521,-1,-1,-1,-0.08739873,-1,-0.578724437703689,-1.0,0.0,62.47,-274.82,0.0,-17168.01,31555.85,14387.84,0.0468,1.1069
2021-11-29 00:00:00+00:00,0.9364115,1,-1,1,-0.9962871,1,0.3233540654182434,0.0,1.0,62.46,0.0,274.82,0.0,14390.59,14390.59,0.0002,1.1071
2021-11-30 00:00:00+00:00,-0.49404883,1,-1,1,-0.85510457,-1,-0.22485889991124472,0.0,0.0,59.84,0.0,0.0,0.0,14390.59,14390.59,0.0,1.1071
2021-12-01 00:00:00+00:00,0.81026816,1,-1,1,-0.91145664,-1,-0.016864746809005737,0.0,0.0,58.65,0.0,0.0,0.0,14390.59,14390.59,0.0,1.1071
2021-12-02 00:00:00+00:00,0.51735264,1,-1,1,-0.97213966,-1,-0.0757978359858195,0.0,0.0,60.69,0.0,0.0,0.0,14390.59,14390.59,0.0,1.1071
2021-12-03 00:00:00+00:00,0.81735736,1,-1,-1,-0.56729186,-1,-0.2916557490825653,0.0,0.0,60.01,0.0,0.0,0.0,14390.59,14390.59,0.0,1.1071
2021-12-06 00:00:00+00:00,0.9147388,1,-1,-1,-0.9913239,-1,-0.3460975190003713,0.0,0.0,60.89,0.0,0.0,0.0,14390.59,14390.59,0.0,1.1071
2021-12-07 00:00:00+00:00,0.97418594,-1,-1,1,-0.102244824,1,0.14532351990540823,0.0,0.0,62.68,0.0,0.0,0.0,14390.59,14390.59,0.0,1.1071
2021-12-08 00:00:00+00:00,0.3529348,-1,-1,-1,-0.81388295,-1,-0.7434913565715154,-1.0,-1.0,62.36,-274.82,-274.82,-17137.78,31528.36,14390.58,-0.0,1.1071
2021-12-09 00:00:00+00:00,0.5307987,1,-1,1,-0.8990917,1,0.271951158841451,0.0,1.0,61.73,0.0,274.82,0.0,14563.73,14563.73,0.012,1.1204
2021-12-10 00:00:00+00:00,0.84298575,1,-1,1,-0.8955858,-1,-0.008766671021779379,0.0,0.0,62.0,0.0,0.0,0.0,14563.73,14563.73,0.0,1.1204
2021-12-13 00:00:00+00:00,0.47545946,1,-1,-1,0.2416415,-1,-0.21381650616725287,0.0,0.0,60.2,0.0,0.0,0.0,14563.73,14563.73,0.0,1.1204
2021-12-14 00:00:00+00:00,0.025648173,1,-1,1,-0.9833407,1,0.1737179153909286,0.0,0.0,59.37,0.0,0.0,0.0,14563.73,14563.73,0.0,1.1204
2021-12-15 00:00:00+00:00,0.6317428,1,-1,-1,-0.968242,-1,-0.38941653569539386,0.0,0.0,59.56,0.0,0.0,0.0,14563.73,14563.73,0.0,1.1204
2021-12-16 00:00:00+00:00,0.7963211,1,-1,1,-0.85615396,1,0.32336118817329407,0.0,0.0,58.31,0.0,0.0,0.0,14563.73,14563.73,0.0,1.1204
2021-12-17 00:00:00+00:00,0.97526973,1,-1,1,-0.8431398,1,0.3553549846013387,0.0,0.0,57.85,0.0,0.0,0.0,14563.73,14563.73,0.0,1.1204
2021-12-20 00:00:00+00:00,0.20701683,1,-1,1,-0.62845695,1,0.2630933125813802,0.0,0.0,56.53,0.0,0.0,0.0,14563.73,14563.73,0.0,1.1204
2021-12-21 00:00:00+00:00,0.4542697,1,-1,1,-0.9471478,-1,-0.08214634656906128,0.0,0.0,57.91,0.0,0.0,0.0,14563.73,14563.73,0.0,1.1204
2021-12-22 00:00:00+00:00,0.8540295,1,-1,1,0.1582391,-1,0.1687114288409551,0.0,0.0,57.78,0.0,0.0,0.0,14563.73,14563.73,0.0,1.1204
2021-12-23 00:00:00+00:00,0.8864249,1,-1,-1,-0.96556735,-1,-0.34652374188105267,0.0,0.0,58.02,0.0,0.0,0.0,14563.73,14563.73,0.0,1.1204
2021-12-27 00:00:00+00:00,0.92733425,1,-1,-1,0.22041817,-1,-0.1420412634809812,0.0,0.0,59.41,0.0,0.0,0.0,14563.73,14563.73,0.0,1.1204
2021-12-28 00:00:00+00:00,0.95755225,1,-1,-1,-0.916822,1,0.006788372993469238,0.0,0.0,59.4,0.0,0.0,0.0,14563.73,14563.73,0.0,1.1204
2021-12-29 00:00:00+00:00,0.6437325,1,-1,-1,-0.54012185,-1,-0.31606489419937134,0.0,0.0,58.77,0.0,0.0,0.0,14563.73,14563.73,0.0,1.1204
2021-12-30 00:00:00+00:00,0.62968576,1,-1,1,-0.6078977,1,0.3369646767775218,0.0,0.0,58.48,0.0,0.0,0.0,14563.73,14563.73,0.0,1.1204
2021-12-31 00:00:00+00:00,-9.475113e-05,1,-1,1,-0.7535967,-1,-0.1256152457014347,0.0,0.0,58.76,0.0,0.0,0.0,14563.73,14563.73,0.0,1.1204
2022-01-03 00:00:00+00:00,0.90131044,1,-1,1,-0.46164015,1,0.40661171575387317,0.0,0.0,59.99,0.0,0.0,0.0,14563.73,14563.73,0.0,1.1204
