timestamp,open,high,low,close,volume,trade_count,vwap
2022-01-20 05:00:00+00:00,86.27,88.47,85.4,85.63,7682273,88183,86.862208
2022-01-21 05:00:00+00:00,84.94,85.11,82.1456,82.72,10578077,107796,83.213358
2022-01-24 05:00:00+00:00,80.7,83.445,78.7805,83.02,9463370,98206,81.157664
2022-01-25 05:00:00+00:00,83.22,87.26,81.32,87.11,8496910,93370,85.310292
2022-01-26 05:00:00+00:00,88.82,89.1897,86.36,87.06,9373103,94114,87.896709
2022-01-27 05:00:00+00:00,88.95,89.74,87.81,89.66,9599160,105727,88.979211
2022-01-28 05:00:00+00:00,88.11,89.715,87.7,89.22,11534216,113743,88.727716
2022-01-31 05:00:00+00:00,88.56,89.43,86.92,88.62,7532991,73464,88.644188
2022-02-01 05:00:00+00:00,87.49,91.885,87.22,91.54,9407593,90689,90.815426
2022-02-02 05:00:00+00:00,90.96,92.61,88.98,92.21,8795464,92391,91.067375
2022-02-03 05:00:00+00:00,92.83,92.95,89.47,90.87,13240201,120863,90.634261
2022-02-04 05:00:00+00:00,92.04,94.93,91.75,91.87,12019691,129285,92.856593
2022-02-07 05:00:00+00:00,90.45,94.23,89.68,92.94,8404446,93633,92.461795
